geoname,cvap_est
"Orange, California",2127355
"Placer, California",301335
"Plumas, California",15990
"Riverside, California",1610450
"Sacramento, California",1095810
"San Benito, California",41830
"San Bernardino, California",1406300
"San Diego, California",2304925
"San Francisco, California",633650
"San Joaquin, California",487135
"San Luis Obispo, California",220680
"San Mateo, California",502615
"Santa Barbara, California",287625
"Santa Clara, California",1176135
"Santa Cruz, California",193475
"Shasta, California",138510
"Sierra, California",2445
"Siskiyou, California",34190
"Solano, California",318515
"Sonoma, California",354880
"Stanislaus, California",349335
"Sutter, California",63935
"Tehama, California",46600
"Trinity, California",12720
"Tulare, California",268455
"Tuolumne, California",44720
"Ventura, California",573110
"Yolo, California",149865
"Yuba, California",55535
"Adams, Colorado",343020
"Alamosa, Colorado",12140
"Arapahoe, Colorado",458910
"Archuleta, Colorado",10855
"Baca, Colorado",2670
"Bent, Colorado",4455
"Boulder, Colorado",253805
"Broomfield, Colorado",54720
"Chaffee, Colorado",16250
"Cheyenne, Colorado",1240
"Clear Creek, Colorado",8145
"Conejos, Colorado",5530
"Costilla, Colorado",2745
"Crowley, Colorado",4910
"Custer, Colorado",3970
"Delta, Colorado",24525
"Denver, Colorado",528920
"Dolores, Colorado",1980
"Douglas, Colorado",261405
"Eagle, Colorado",38985
"Elbert, Colorado",20575
"El Paso, Colorado",539170
"Fremont, Colorado",40730
"Garfield, Colorado",41370
"Gilpin, Colorado",4570
"Grand, Colorado",12665
"Gunnison, Colorado",14070
"Hinsdale, Colorado",805
"Huerfano, Colorado",5755
"Jackson, Colorado",1180
"Jefferson, Colorado",455520
"Kiowa, Colorado",985
"Kit Carson, Colorado",4970
"Lake, Colorado",5585
"La Plata, Colorado",45210
"Larimer, Colorado",282090
"Las Animas, Colorado",11435
"Lincoln, Colorado",4515
"Logan, Colorado",16815
"Mesa, Colorado",120045
"Mineral, Colorado",700
"Moffat, Colorado",9430
"Montezuma, Colorado",20090
"Montrose, Colorado",32335
"Morgan, Colorado",19420
"Otero, Colorado",13890
"Ouray, Colorado",4240
"Park, Colorado",14895
"Phillips, Colorado",3005
"Pitkin, Colorado",13965
"Prowers, Colorado",8550
"Pueblo, Colorado",127410
"Rio Blanco, Colorado",4785
"Rio Grande, Colorado",8695
"Routt, Colorado",20065
"Saguache, Colorado",5065
"San Juan, Colorado",580
"San Miguel, Colorado",6350
"Sedgwick, Colorado",1800
"Summit, Colorado",24525
"Teller, Colorado",20300
"Washington, Colorado",3640
"Weld, Colorado",229960
"Yuma, Colorado",6330
"Capitol Planning Region, Connecticut",722460
"Greater Bridgeport Planning Region, Connecticut",224015
"Lower Connecticut River Valley Planning Region, Connecticut",140155
"Naugatuck Valley Planning Region, Connecticut",336010
"Northeastern Connecticut Planning Region, Connecticut",74605
"Northwest Hills Planning Region, Connecticut",86880
"South Central Connecticut Planning Region, Connecticut",425735
"Southeastern Connecticut Planning Region, Connecticut",217070
"Western Connecticut Planning Region, Connecticut",419790
"Kent, Delaware",136265
"New Castle, Delaware",421210
"Sussex, Delaware",188635
"District of Columbia, District of Columbia",503685
"Alachua, Florida",217480
"Baker, Florida",21125
"Bay, Florida",137845
"Bradford, Florida",22215
"Brevard, Florida",484110
"Broward, Florida",1303070
"Calhoun, Florida",10745
"Charlotte, Florida",161200
"Citrus, Florida",130125
"Clay, Florida",165155
"Collier, Florida",274930
"Columbia, Florida",53185
"DeSoto, Florida",25110
"Dixie, Florida",13510
"Duval, Florida",729890
"Escambia, Florida",247205
"Flagler, Florida",94170
"Franklin, Florida",10100
"Gadsden, Florida",32965
"Gilchrist, Florida",13920
"Glades, Florida",9630
"Gulf, Florida",12490
"Hamilton, Florida",10485
"Hardee, Florida",17410
"Hendry, Florida",24055
"Hernando, Florida",156050
"Highlands, Florida",80145
"Hillsborough, Florida",1032790
"Holmes, Florida",15390
"Indian River, Florida",130885
"Jackson, Florida",38310
"Jefferson, Florida",11725
"Lafayette, Florida",6370
"Lake, Florida",298770
"Lee, Florida",581905
"Leon, Florida",231935
"Levy, Florida",33810
"Liberty, Florida",6130
"Madison, Florida",14340
"Manatee, Florida",310025
"Marion, Florida",297665
"Martin, Florida",127485
"Miami-Dade, Florida",1635635
"Monroe, Florida",63130
"Nassau, Florida",72585
"Okaloosa, Florida",157725
"Okeechobee, Florida",29185
"Orange, Florida",981685
"Osceola, Florida",259570
"Palm Beach, Florida",1056415
"Pasco, Florida",433170
"Pinellas, Florida",770945
"Polk, Florida",536830
"Putnam, Florida",55730
"St. Johns, Florida",211195
"St. Lucie, Florida",251210
"Santa Rosa, Florida",144985
"Sarasota, Florida",360930
"Seminole, Florida",348860
"Sumter, Florida",119935
"Suwannee, Florida",33605
"Taylor, Florida",16865
"Union, Florida",12000
"Volusia, Florida",445850
"Wakulla, Florida",26265
"Walton, Florida",59130
"Washington, Florida",19475
"Appling, Georgia",13090
"Atkinson, Georgia",5205
"Bacon, Georgia",8055
"Baker, Georgia",2280
"Baldwin, Georgia",35055
"Banks, Georgia",13870
"Barrow, Georgia",59865
"Bartow, Georgia",80885
"Ben Hill, Georgia",12640
"Berrien, Georgia",13705
"Bibb, Georgia",116915
"Bleckley, Georgia",9925
"Brantley, Georgia",13665
"Brooks, Georgia",12540
"Bryan, Georgia",31115
"Bulloch, Georgia",62385
"Burke, Georgia",17950
"Butts, Georgia",20070
"Calhoun, Georgia",4480
"Camden, Georgia",41315
"Candler, Georgia",7565
"Carroll, Georgia",88135
"Catoosa, Georgia",52345
"Charlton, Georgia",9890
"Chatham, Georgia",225415
"Chattahoochee, Georgia",7205
"Chattooga, Georgia",18825
"Cherokee, Georgia",191790
"Clarke, Georgia",99885
"Clay, Georgia",2170
"Clayton, Georgia",197730
"Clinch, Georgia",4760
"Cobb, Georgia",535160
"Coffee, Georgia",30875
"Colquitt, Georgia",30505
"Columbia, Georgia",113580
"Cook, Georgia",12505
"Coweta, Georgia",108260
"Crawford, Georgia",9580
"Crisp, Georgia",15340
"Dade, Georgia",12875
"Dawson, Georgia",21570
"Decatur, Georgia",21460
"DeKalb, Georgia",532965
"Dodge, Georgia",15875
"Dooly, Georgia",9070
"Dougherty, Georgia",63495
"Douglas, Georgia",101650
"Early, Georgia",8035
"Echols, Georgia",2650
"Effingham, Georgia",47265
"Elbert, Georgia",14980
"Emanuel, Georgia",16715
"Evans, Georgia",7495
"Fannin, Georgia",21165
"Fayette, Georgia",86990
"Floyd, Georgia",71870
"Forsyth, Georgia",162535
"Franklin, Georgia",17685
"Fulton, Georgia",772350
"Gilmer, Georgia",24795
"Glascock, Georgia",2280
"Glynn, Georgia",64630
"Gordon, Georgia",41045
"Grady, Georgia",18470
"Greene, Georgia",15175
"Gwinnett, Georgia",591850
"Habersham, Georgia",32950
"Hall, Georgia",133065
"Hancock, Georgia",7365
"Haralson, Georgia",22835
"Harris, Georgia",27245
"Hart, Georgia",20335
"Heard, Georgia",8750
"Henry, Georgia",175205
"Houston, Georgia",118735
"Irwin, Georgia",7355
"Jackson, Georgia",55915
"Jasper, Georgia",11195
"Jeff Davis, Georgia",10565
"Jefferson, Georgia",11600
"Jenkins, Georgia",6930
"Johnson, Georgia",7485
"Jones, Georgia",21720
"Lamar, Georgia",14690
"Lanier, Georgia",7425
"Laurens, Georgia",36955
"Lee, Georgia",23970
"Liberty, Georgia",45630
"Lincoln, Georgia",6095
"Long, Georgia",11850
"Lowndes, Georgia",87675
"Lumpkin, Georgia",27055
"McDuffie, Georgia",16115
"McIntosh, Georgia",9470
"Macon, Georgia",9600
"Madison, Georgia",22890
"Marion, Georgia",5635
"Meriwether, Georgia",16230
"Miller, Georgia",4490
"Mitchell, Georgia",16375
"Monroe, Georgia",22275
"Montgomery, Georgia",6745
"Morgan, Georgia",15530
"Murray, Georgia",28655
"Muscogee, Georgia",149905
"Newton, Georgia",81140
"Oconee, Georgia",29825
"Oglethorpe, Georgia",11685
"Paulding, Georgia",121295
"Peach, Georgia",21680
"Pickens, Georgia",26595
"Pierce, Georgia",14650
"Pike, Georgia",14540
"Polk, Georgia",30070
"Pulaski, Georgia",7870
"Putnam, Georgia",17440
"Quitman, Georgia",1925
"Rabun, Georgia",13735
"Randolph, Georgia",4760
"Richmond, Georgia",156275
"Rockdale, Georgia",67750
"Schley, Georgia",3455
"Screven, Georgia",11100
"Seminole, Georgia",7270
"Spalding, Georgia",50730
"Stephens, Georgia",20610
