State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
CA,Sacramento,11.6,21.9,33.8,32.6
CA,San Benito,16.3,26.5,35.2,22
CA,San Bernardino,18.6,27.2,31.8,22.4
CA,San Diego,11.3,18.1,29.5,41
CA,San Francisco,11.2,11.6,17.4,59.8
CA,San Joaquin,19.8,28.4,31.6,20.3
CA,San Luis Obispo,7.9,18.7,35.4,38
CA,San Mateo,9.4,14.9,22.9,52.9
CA,Santa Barbara,17.9,17.2,29.2,35.7
CA,Santa Clara,10.7,13.5,20.5,55.3
CA,Santa Cruz,11.3,15.8,30.4,42.5
CA,Shasta,8.1,25.8,43.4,22.8
CA,Sierra,6.4,33,36.6,23.9
CA,Siskiyou,9.4,27,41.5,22
CA,Solano,11.1,23.8,36.9,28.2
CA,Sonoma,10.8,18.1,33.3,37.8
CA,Stanislaus,19.7,30.1,32,18.2
CA,Sutter,20.4,24.1,34.8,20.6
CA,Tehama,12.9,30.1,38.8,18.2
CA,Trinity,4.7,44.6,31.5,19.2
CA,Tulare,26.5,26.4,31.5,15.6
CA,Tuolumne,7.5,24.7,43.4,24.4
CA,Ventura,14.6,19.7,31,34.7
CA,Yolo,12.1,18,26.6,43.3
CA,Yuba,17.3,25.4,39.9,17.4
CO,Colorado,7.5,20.4,28.4,43.7
CO,Adams,15.2,28.7,28.9,27.2
CO,Alamosa,10.2,27.7,33.9,28.2
CO,Arapahoe,7.8,19.4,27.9,44.9
CO,Archuleta,5.5,24,31.1,39.4
CO,Baca,14.2,30.8,30.7,24.4
CO,Bent,16.6,43.1,24.8,15.5
CO,Boulder,4.3,11.2,21.3,63.2
CO,Broomfield,3.7,12.5,25.4,58.4
CO,Chaffee,7,24.7,26.9,41.4
CO,Cheyenne,7,31.3,38.2,23.4
CO,Clear Creek,3.4,18.7,22.9,55
CO,Conejos,10.2,33,32.1,24.6
CO,Costilla,11.7,30.4,34.3,23.7
CO,Crowley,19,43.8,24.5,12.7
CO,Custer,3.1,21,39.5,36.5
CO,Delta,10,36.6,28.9,24.5
CO,Denver,9.5,15.4,20.9,54.2
CO,Dolores,4.7,39.6,29.3,26.3
CO,Douglas,2.1,12,25.9,60
CO,Eagle,7.6,16.8,23.8,51.8
CO,Elbert,3.3,24.8,36.3,35.6
CO,El Paso,5.2,19.8,34.8,40.2
CO,Fremont,10.2,38.4,31.3,20.2
CO,Garfield,10.7,24.2,31.4,33.7
CO,Gilpin,5.6,16.7,33.9,43.9
CO,Grand,5.3,28.2,28.6,37.8
CO,Gunnison,1.7,17,22,59.3
CO,Hinsdale,1.5,14.4,39.5,44.6
CO,Huerfano,7.1,26,40.9,26.1
CO,Jackson,14.3,25.4,32.8,27.5
CO,Jefferson,4.8,19.2,26.9,49.1
CO,Kiowa,8.8,28.4,44.8,18
CO,Kit Carson,12.3,29.8,39.8,18
CO,Lake,5.7,26.4,28.7,39.2
CO,La Plata,4.2,21.3,27.5,47
CO,Larimer,3.7,16.7,28.7,50.9
CO,Las Animas,11.5,27.1,44.9,16.5
CO,Lincoln,11.3,41.3,24.7,22.7
CO,Logan,8.9,37.5,33.9,19.7
CO,Mesa,7.7,28.8,33.4,30
CO,Mineral,2.2,15.8,24.4,57.7
CO,Moffat,8.7,41.4,29.4,20.5
CO,Montezuma,8.7,31,30.2,30.1
CO,Montrose,10.7,33.2,28.4,27.7
CO,Morgan,17.3,31.7,33.2,17.7
CO,Otero,12,32.6,37.1,18.3
CO,Ouray,2.5,13.7,34.2,49.6
CO,Park,2.4,23.1,39,35.5
CO,Phillips,10.9,29.4,33.4,26.3
CO,Pitkin,1.8,14,21,63.1
CO,Prowers,14.5,31.2,36,18.2
CO,Pueblo,10,29.5,36.5,24.1
CO,Rio Blanco,7.8,34.8,33.6,23.8
CO,Rio Grande,9.9,28.5,30.3,31.3
CO,Routt,3,18.2,28.7,50
CO,Saguache,11.5,31.6,32.5,24.4
CO,San Juan,4.3,30.6,23.4,41.7
CO,San Miguel,1.8,17.8,18.3,62.2
CO,Sedgwick,8.7,25.8,39.1,26.5
CO,Summit,5.8,16.8,25.2,52.3
CO,Teller,3,21.9,37.2,38
CO,Washington,9.5,28.4,37.7,24.5
CO,Weld,11.7,24.9,32.8,30.7
CO,Yuma,15.2,27.1,33.3,24.4
CT,Connecticut,8.7,25.8,24.1,41.4
CT,Fairfield,,,,
CT,Hartford,,,,
CT,Litchfield,,,,
CT,Middlesex,,,,
CT,New Haven,,,,
CT,New London,,,,
CT,Tolland,,,,
CT,Windham,,,,
CT,"Capitol Planning Region, Connecticut",9,25.2,24.7,41.1
CT,"Greater Bridgeport Planning Region, Connecticut",11.7,25.2,21.4,41.7
CT,"Lower Connecticut River Valley Planning Region, Connecticut",4.7,23.8,26.2,45.3
CT,"Naugatuck Valley Planning Region, Connecticut",9.6,30.1,27,33.3
CT,"Northeastern Connecticut Planning Region, Connecticut",8.7,34.8,31.4,25
CT,"Northwest Hills Planning Region, Connecticut",6.8,28.6,26.7,37.9
CT,"South Central Connecticut Planning Region, Connecticut",8.6,28.4,22.6,40.4
CT,"Southeastern Connecticut Planning Region, Connecticut",7.6,29.6,29,33.8
CT,"Western Connecticut Planning Region, Connecticut",8.4,18.5,18.9,54.2
DE,Delaware,8.8,29.7,27.1,34.5
DE,Kent,11.1,33.1,29.5,26.3
DE,New Castle,7.5,28.3,25.9,38.3
DE,Sussex,9.9,30.4,28,31.7
DC,District of Columbia,7.3,15,15,62.6
DC,District of Columbia,7.3,15,15,62.6
FL,Florida,10.7,27.7,29.2,32.3
FL,Alachua,6.4,20,26.9,46.7
FL,Baker,14.9,42.4,28.6,14.1
FL,Bay,9.6,28.1,35.6,26.6
FL,Bradford,17.9,39,30,13.2
FL,Brevard,7.3,26.1,33.6,32.9
FL,Broward,10,26.8,28.3,34.9
FL,Calhoun,20.7,42,26.2,11.1
FL,Charlotte,8.1,33.7,33.1,25.1
FL,Citrus,9.6,37.7,33.1,19.7
FL,Clay,7.5,27.9,37,27.6
FL,Collier,10.5,25.9,24.9,38.7
FL,Columbia,14.2,36.1,33.7,16
FL,DeSoto,26.9,39.8,21.8,11.6
FL,Dixie,19.2,48.3,24.5,8
FL,Duval,9.3,27.9,30.5,32.2
FL,Escambia,9.2,27.5,35.1,28.1
FL,Flagler,7.7,31,32.9,28.4
FL,Franklin,19.6,32.2,27.2,21
FL,Gadsden,19.7,35.2,25.5,19.7
FL,Gilchrist,14,39.1,32.3,14.6
FL,Glades,26.9,34.5,25.6,13
FL,Gulf,14.3,34.1,30.2,21.4
FL,Hamilton,22.9,44.1,23.7,9.2
FL,Hardee,22.1,47,20.5,10.4
FL,Hendry,30.5,36.4,22.6,10.5
FL,Hernando,10.6,32.6,36.7,20
FL,Highlands,13.8,35.5,32.4,18.3
FL,Hillsborough,10.7,26,27.1,36.2
FL,Holmes,17.3,45.7,26,11
FL,Indian River,8.6,26.7,32,32.7
FL,Jackson,15.8,39.7,30.7,13.9
FL,Jefferson,14.9,37.2,28.4,19.5
FL,Lafayette,21.5,50.5,20,8.1
FL,Lake,9.6,30.6,34.2,25.7
FL,Lee,9.9,30.2,29.8,30.1
FL,Leon,6.7,19.2,26.6,47.5
FL,Levy,12.4,41.8,29.8,16.1
FL,Liberty,19,41.6,22.6,16.8
FL,Madison,19.8,35.7,31.5,13
FL,Manatee,9.3,29.3,28.6,32.8
FL,Marion,10.8,35.1,32.1,22
FL,Martin,7.6,24.8,32.5,35.1
FL,Miami-Dade,17.3,26.5,23.6,32.5
FL,Monroe,7.8,28.3,27.6,36.3
FL,Nassau,8.2,29.3,30.6,32
FL,Okaloosa,7,24.6,35.1,33.3
FL,Okeechobee,20.1,35.6,27.4,16.8
FL,Orange,10.6,24,28.1,37.4
FL,Osceola,12.3,29.6,31.6,26.5
FL,Palm Beach,11,23.1,27.1,38.8
FL,Pasco,9.3,33.1,30.5,27.1
FL,Pinellas,7.5,26.6,30.8,35.1
FL,Polk,13.1,33.9,31.6,21.4
FL,Putnam,17.6,41.7,27.4,13.3
FL,St. Johns,5,20.9,26.8,47.4
FL,St. Lucie,11.4,30.8,32.8,25
FL,Santa Rosa,7.4,27.3,35.4,29.9
FL,Sarasota,5.9,26.4,29.4,38.3
FL,Seminole,6.1,21.3,30.8,41.7
FL,Sumter,7.5,29.2,29.7,33.7
FL,Suwannee,15.7,40.5,27.9,15.9
FL,Taylor,16.7,44.1,25.3,13.9
FL,Union,22.1,39.2,28.7,10
FL,Volusia,8.4,30.9,34.5,26.2
FL,Wakulla,11.6,36.7,32,19.7
FL,Walton,8.1,28.1,30.7,33.1
FL,Washington,16.9,42.6,28,12.4
GA,Georgia,11.3,27.1,27.9,33.6
GA,Appling,21.6,38.1,30.4,10
GA,Atkinson,29.6,34.7,24.3,11.4
GA,Bacon,15.3,38.2,35.5,10.9
GA,Baker,14.3,35.9,30.9,19
GA,Baldwin,14.5,31.9,30.1,23.5
GA,Banks,20.6,34.3,28,17.1
GA,Barrow,12.4,33.6,32.9,21.2
GA,Bartow,12.1,37.2,29.6,21
GA,Ben Hill,16.3,51.3,20.2,12.2
GA,Berrien,18.7,38.4,28.1,14.8
GA,Bibb,13.5,30.7,30,25.9
GA,Bleckley,12.1,31.9,37.4,18.6
GA,Brantley,20.4,43.3,25.9,10.3
GA,Brooks,17.5,37.2,30.7,14.7
GA,Bryan,7.6,25,33.4,33.9
GA,Bulloch,11.3,28.7,30.4,29.6
GA,Burke,15.3,37.8,32.2,14.7
GA,Butts,16.3,42.7,27.9,13.1
GA,Calhoun,23.8,39.6,25.2,11.4
GA,Camden,7.5,32.4,38.5,21.7
GA,Candler,22.5,35.5,29.7,12.2
GA,Carroll,15.5,34.3,29,21.2
GA,Catoosa,10.5,32.3,33.9,23.2
GA,Charlton,15.9,45.2,26.7,12.1
GA,Chatham,8.6,24.9,30.5,36.1
GA,Chattahoochee,4,23.4,42.5,30
GA,Chattooga,26.8,38.4,25.3,9.5
GA,Cherokee,7.8,22.6,30.1,39.5
GA,Clarke,10.1,18.6,23.3,47.9
GA,Clay,16.8,34.4,32.3,16.6
GA,Clayton,14.5,33.2,31.7,20.6
GA,Clinch,26,36.8,24.3,12.9
GA,Cobb,7,17.8,25.6,49.7
GA,Coffee,21.7,39.4,26,12.9
GA,Colquitt,22.3,37,26,14.7
GA,Columbia,6.8,23,32.7,37.4
GA,Cook,18.1,34.4,31.5,16
GA,Coweta,9.2,26,30.6,34.1
GA,Crawford,19,41.4,28.3,11.3
GA,Crisp,17.8,39,29.1,14.1
GA,Dade,13.6,36.7,31.5,18.3
GA,Dawson,12,21.9,30.7,35.5
GA,Decatur,17.7,34.6,32.7,15
GA,DeKalb,8.9,20.3,24.2,46.7
GA,Dodge,13.4,41.7,30.1,14.7
GA,Dooly,17.2,42.6,27.2,13
GA,Dougherty,16.1,29.6,31,23.3
GA,Douglas,9.7,30.1,30.3,29.9
GA,Early,20.2,40.8,25,14
GA,Echols,17.6,46.4,22.1,14
GA,Effingham,9.9,33.6,31.4,25.2
GA,Elbert,18.3,40.5,27.1,14.1
GA,Emanuel,20.9,40.9,26.6,11.6
GA,Evans,21,38.2,24.5,16.4
GA,Fannin,12.2,34.4,30.2,23.2
GA,Fayette,4.7,20.7,27.4,47.2
GA,Floyd,15.8,32.6,29.2,22.3
GA,Forsyth,6.1,14.6,23.1,56.2
GA,Franklin,19.1,33.3,30.8,16.8
GA,Fulton,6.4,16.1,20.5,57.1
GA,Gilmer,14,34.9,27.7,23.4
GA,Glascock,17.8,39.4,29.9,12.9
GA,Glynn,11.8,26.8,30.7,30.6
GA,Gordon,22.1,35,26.2,16.7
GA,Grady,19.1,36.2,29,15.8
GA,Greene,11.9,30.4,24.3,33.4
GA,Gwinnett,11.8,22.5,26.8,38.9
GA,Habersham,19.3,33.7,24.1,22.9
GA,Hall,18.9,28.4,27.2,25.5
GA,Hancock,24.9,35.9,29.5,9.6
GA,Haralson,15.9,39,27.2,17.9
GA,Harris,6.6,26.6,34.4,32.4
GA,Hart,17.1,34.5,30.1,18.3
GA,Heard,15.9,42.4,30.1,11.6
GA,Henry,7.5,31.9,33.1,27.5
GA,Houston,7,27.2,33.7,32
GA,Irwin,18.3,36.3,28.6,16.8
GA,Jackson,12.2,32.3,28.9,26.5
GA,Jasper,10.4,44.1,27.2,18.3
GA,Jeff Davis,19.4,38.2,30.9,11.5
GA,Jefferson,19.6,41.5,28.2,10.8
GA,Jenkins,18.5,44.4,28.1,9.1
GA,Johnson,23.8,43.8,23,9.5
GA,Jones,8.4,41.4,32.3,17.9
GA,Lamar,10.6,35.9,36.1,17.5
GA,Lanier,13.2,41,27.4,18.4
GA,Laurens,13.5,41.7,27.7,17.1
GA,Lee,8.1,27.2,32.2,32.6
GA,Liberty,7.8,32,40,20.2
GA,Lincoln,12.8,41.7,29.3,16.2
GA,Long,16.2,41.5,29.3,13
GA,Lowndes,10.4,31.9,31.6,26.1
GA,Lumpkin,12.4,29.3,26.2,32
GA,McDuffie,14.5,40.1,27.1,18.4
GA,McIntosh,17.5,36.6,28.1,17.8
GA,Macon,27.4,39.1,23.4,10.1
GA,Madison,16.9,34.2,29.4,19.6
GA,Marion,24.1,36.7,27.1,12.2
GA,Meriwether,17.1,42.5,27.3,13.1
GA,Miller,17.3,29.9,33.1,19.7
GA,Mitchell,16.5,36.2,34.9,12.3
GA,Monroe,11.6,34.9,25,28.6
GA,Montgomery,16.1,38.5,25.8,19.6
GA,Morgan,10.6,35.5,24,29.9
GA,Murray,23.8,35.4,29.4,11.4
GA,Muscogee,11.5,27.1,33,28.4
GA,Newton,10.3,33.1,34,22.6
GA,Oconee,4.5,16.1,25.9,53.5
GA,Oglethorpe,12.6,38.9,25.9,22.7
GA,Paulding,9,30.1,34.4,26.5
GA,Peach,14,32.2,30.9,22.9
GA,Pickens,9.9,35.6,30.2,24.3
GA,Pierce,13.3,41.9,27.8,17
GA,Pike,11.9,37.3,30.7,20.2
GA,Polk,17.1,42.6,25.9,14.4
GA,Pulaski,19.2,36,31.9,12.9
GA,Putnam,12.4,34.1,27.9,25.6
GA,Quitman,20.9,37.2,31,10.9
GA,Rabun,10.8,29.9,31.2,28
GA,Randolph,18.9,34.8,33.9,12.4
GA,Richmond,12.4,32.2,31.8,23.6
GA,Rockdale,10.5,28.4,33,28.1
GA,Schley,14.9,34.6,32.5,18
GA,Screven,15.1,37.9,31.3,15.7
GA,Seminole,12.1,40.3,30.6,17
GA,Spalding,16.4,39.2,26.1,18.3
GA,Stephens,16.3,40.8,26.9,16
GA,Stewart,27.4,36,20.7,15.8
GA,Sumter,16.3,35.9,25.7,22.2
GA,Talbot,16.6,41.5,26.5,15.4
GA,Taliaferro,15.7,42.1,30.8,11.5
GA,Tattnall,21.7,39.7,24.6,14
GA,Taylor,26,38.8,18.9,16.3
GA,Telfair,24.5,47.6,19.8,8
GA,Terrell,18.1,37.5,31.4,13
GA,Thomas,13.7,31.4,31.1,23.8
GA,Tift,16.1,33.3,31.9,18.7
GA,Toombs,17,36.5,30.1,16.4
GA,Towns,7.8,27.8,32.5,32
GA,Treutlen,26.4,44.1,15.7,13.7
GA,Troup,11.7,36.7,31.3,20.3
GA,Turner,20.5,34.8,34.2,10.5
GA,Twiggs,20.7,42.5,26.2,10.6
GA,Union,11.8,32.5,30.1,25.5
GA,Upson,15.6,37.8,31.2,15.4
GA,Walker,15,35.5,29.9,19.7
GA,Walton,12.9,32.1,30.7,24.3
GA,Ware,18.4,39.9,26.6,15.1
GA,Warren,27.9,37.2,23.9,11.1
GA,Washington,15.8,43.9,22.9,17.4
GA,Wayne,14.5,44.7,26.7,14.1
GA,Webster,18.8,33.9,38,9.3
GA,Wheeler,23.5,44.4,19.4,12.8
GA,White,14.4,31.2,31.3,23.1
GA,Whitfield,25.7,31.6,24.1,18.6
GA,Wilcox,19.6,39.8,27,13.6
GA,Wilkes,17.4,44.6,22.4,15.6
GA,Wilkinson,10.6,48,29.3,12.1
GA,Worth,14.5,44.2,31.7,9.5
HI,Hawaii,7.1,29.2,33.1,30.7
HI,Honolulu,7.3,25.4,30.6,36.6
HI,Kalawao,8,34,24,34
